Site,Replicate,Mining,Miningfac,Survey,Time,Colour,Soil_moisture,Rainfall_3mth,,,,,,,
CW,8,Mined,2,8,2020,7,5.7,92,,,,,,,
CW,9,Mined,2,8,2020,7,6.433333333,92,,,,,,,
CW,10,Mined,2,8,2020,7,6.066666667,92,,,,,,,
CW,1,Mined,2,9,2021.1,7,24.8,246.5,,,,,,,
CW,2,Mined,2,9,2021.1,7,23.73,246.5,,,,,,,
CW,3,Mined,2,9,2021.1,7,19.07,246.5,,,,,,,
CW,4,Mined,2,9,2021.1,7,19.53,246.5,,,,,,,
CW,5,Mined,2,9,2021.1,7,21.47,246.5,,,,,,,
CW,6,Mined,2,9,2021.1,7,17.53,246.5,,,,,,,
CW,7,Mined,2,9,2021.1,7,13.6,246.5,,,,,,,
CW,8,Mined,2,9,2021.1,7,0.7,246.5,,,,,,,
CW,9,Mined,2,9,2021.1,7,20.57,246.5,,,,,,,
CW,10,Mined,2,9,2021.1,7,4.97,246.5,,,,,,,
CW,1,Mined,2,10,2022.2,7,18.8,560.1,,,,,,,
CW,2,Mined,2,10,2022.2,7,23.46666667,560.1,,,,,,,
CW,3,Mined,2,10,2022.2,7,24.53333333,560.1,,,,,,,
CW,4,Mined,2,10,2022.2,7,23.46666667,560.1,,,,,,,
CW,5,Mined,2,10,2022.2,7,22.4,560.1,,,,,,,
CW,6,Mined,2,10,2022.2,7,25.93333333,560.1,,,,,,,
CW,7,Mined,2,10,2022.2,7,20.36666667,560.1,,,,,,,
CW,8,Mined,2,10,2022.2,7,11.76666667,560.1,,,,,,,
CW,9,Mined,2,10,2022.2,7,22.73333333,560.1,,,,,,,
CW,10,Mined,2,10,2022.2,7,16.7,560.1,,,,,,,
GGE,1,Mined,2,3,2015.1,7,89.6,320.9,,,,,,,
GGE,2,Mined,2,3,2015.1,7,91.16666667,320.9,,,,,,,
GGE,3,Mined,2,3,2015.1,7,70.76666667,320.9,,,,,,,
GGE,4,Mined,2,3,2015.1,7,69.03333333,320.9,,,,,,,
GGE,5,Mined,2,3,2015.1,7,92.33333333,320.9,,,,,,,
GGE,6,Mined,2,3,2015.1,7,88.73333333,320.9,,,,,,,
GGE,7,Mined,2,3,2015.1,7,92.93333333,320.9,,,,,,,
GGE,8,Mined,2,3,2015.1,7,92.83333333,320.9,,,,,,,
GGE,9,Mined,2,3,2015.1,7,65,320.9,,,,,,,
GGE,10,Mined,2,3,2015.1,7,92.1,320.9,,,,,,,
GGE,1,Mined,2,5,2017.1,7,79.23333333,190.8,,,,,,,
GGE,2,Mined,2,5,2017.1,7,78.6,190.8,,,,,,,
GGE,3,Mined,2,5,2017.1,7,46.73333333,190.8,,,,,,,
GGE,4,Mined,2,5,2017.1,7,69,190.8,,,,,,,
GGE,5,Mined,2,5,2017.1,7,65.73333333,190.8,,,,,,,
GGE,6,Mined,2,5,2017.1,7,90.03333333,190.8,,,,,,,
GGE,7,Mined,2,5,2017.1,7,92,190.8,,,,,,,
GGE,8,Mined,2,5,2017.1,7,73.53333333,190.8,,,,,,,
GGE,9,Mined,2,5,2017.1,7,23.16666667,190.8,,,,,,,
GGE,10,Mined,2,5,2017.1,7,68.7,190.8,,,,,,,
GGE,1,Mined,2,6,2018.1,7,73.3,181.8,,,,,,,
GGE,2,Mined,2,6,2018.1,7,82.5,181.8,,,,,,,
GGE,3,Mined,2,6,2018.1,7,80.3,181.8,,,,,,,
GGE,4,Mined,2,6,2018.1,7,42.4,181.8,,,,,,,
GGE,5,Mined,2,6,2018.1,7,52.6,181.8,,,,,,,
GGE,6,Mined,2,6,2018.1,7,54.7,181.8,,,,,,,
GGE,7,Mined,2,6,2018.1,7,44.1,181.8,,,,,,,
GGE,8,Mined,2,6,2018.1,7,60.6,181.8,,,,,,,
GGE,9,Mined,2,6,2018.1,7,52.8,181.8,,,,,,,
GGE,10,Mined,2,6,2018.1,7,45.5,181.8,,,,,,,
GGE,1,Mined,2,7,2019.1,7,36.43333333,369.2,,,,,,,
GGE,2,Mined,2,7,2019.1,7,55.83333333,369.2,,,,,,,
GGE,3,Mined,2,7,2019.1,7,47.33333333,369.2,,,,,,,
GGE,4,Mined,2,7,2019.1,7,48.53333333,369.2,,,,,,,
GGE,5,Mined,2,7,2019.1,7,39.53333333,369.2,,,,,,,
GGE,6,Mined,2,7,2019.1,7,67.33333333,369.2,,,,,,,
GGE,7,Mined,2,7,2019.1,7,33.46666667,369.2,,,,,,,
GGE,8,Mined,2,7,2019.1,7,16.16666667,369.2,,,,,,,
GGE,9,Mined,2,7,2019.1,7,20.16666667,369.2,,,,,,,
GGE,10,Mined,2,7,2019.1,7,35.23333333,369.2,,,,,,,
GGE,1,Mined,2,8,2020,7,13.53333333,92,,,,,,,
GGE,2,Mined,2,8,2020,7,25.7,92,,,,,,,
GGE,3,Mined,2,8,2020,7,29.23333333,92,,,,,,,
GGE,4,Mined,2,8,2020,7,27.83333333,92,,,,,,,
GGE,5,Mined,2,8,2020,7,29.23333333,92,,,,,,,
GGE,6,Mined,2,8,2020,7,21.9,92,,,,,,,
GGE,7,Mined,2,8,2020,7,22.7,92,,,,,,,
GGE,8,Mined,2,8,2020,7,25.93333333,92,,,,,,,
GGE,9,Mined,2,8,2020,7,45.1,92,,,,,,,
GGE,10,Mined,2,8,2020,7,36.3,92,,,,,,,
GGE,1,Mined,2,9,2021.1,7,25.67,246.5,,,,,,,
GGE,2,Mined,2,9,2021.1,7,19.63,246.5,,,,,,,
GGE,3,Mined,2,9,2021.1,7,20.93,246.5,,,,,,,
GGE,4,Mined,2,9,2021.1,7,28.6,246.5,,,,,,,
GGE,5,Mined,2,9,2021.1,7,31.13,246.5,,,,,,,
GGE,6,Mined,2,9,2021.1,7,21.13,246.5,,,,,,,
GGE,7,Mined,2,9,2021.1,7,8.8,246.5,,,,,,,
GGE,8,Mined,2,9,2021.1,7,20.97,246.5,,,,,,,
GGE,9,Mined,2,9,2021.1,7,18.8,246.5,,,,,,,
GGE,10,Mined,2,9,2021.1,7,41,246.5,,,,,,,
GGE,1,Mined,2,10,2022.2,7,20.86666667,560.1,,,,,,,
GGE,2,Mined,2,10,2022.2,7,60.06666667,560.1,,,,,,,
GGE,3,Mined,2,10,2022.2,7,55.33333333,560.1,,,,,,,
